nei'rong,6636 内容,6636;
shenwei,17 慎微,17;
wei'guan,313 围观,114;微观,199;
shiluwen,18 史录文,18;
shiya,127 施压,127;
ci'qi,202 瓷器,202;
zhu'shuai,52 主帅,52;
ji'zao,161 急躁,51;及早,110;
gaiji,5 该机,5;
mei'yi'si,9 没意思,9;
zhi'fa'zhe,53 执法者,53;
shixu,32 时序,32;
qu'wei'cun'zhen,25 去伪存真,25;
wei'ji'wu,5 韦奇伍,5;
ji'shan'xian,6 稷山县,6;
zhong'gong,1743 中共,1743;
lu'kou,178 路口,178;
xian'dai,5809 现代,5809;
wu'jian'bu'cui,16 无坚不摧,16;
zhao'zi'yang,30 赵紫阳,30;
mi'fu,5 米芾,5;
gu'shici,8 古诗词,8;
man'dela,86 曼德拉,86;
xian'dao,172 先导,172;
hana'si,26 哈纳斯,26;
dong'lin'cun,8 东林村,8;
gaiju,141 该剧,141;
tong'you,41 通邮,36;桐油,5;
lanfuxian,6 兰福线,6;
jiwan,7 急弯,7;
liu'li'juan,5 刘丽娟,5;
song'zhi'qiang,11 宋志强,11;
zhong'zhen,91 重镇,66;忠贞,25;
chou'cha,182 抽查,182;
miao'pu,32 苗圃,32;
zhubu'yun,8 朱步云,8;
ge'si'da'li'jia,25 哥斯达黎加,25;
lv'juan,6 吕娟,6;
lou'dao,78 楼道,78;
bao'ban,66 薄板,8;包办,58;
bao'bao,57 宝宝,57;
xing'xing'dian'dian,22 星星点点,22;
xinlv,11 心律,11;
chao'dao,17 超导,17;
de'guodui,68 德国队,68;
zhuang'jia,232 庄稼,171;装甲,61;
yizhengxing,7 议政性,7;
chao'dai,16 朝代,16;
xi'lin'guo'le,18 锡林郭勒,18;
zhang'jin'rong,5 张金荣,5;
you'zi'you'wei,24 有滋有味,24;
chou'chu,106 抽搐,5;抽出,91;踌躇,10;
he'er'wei'yi,7 合而为一,7;
yu'su'fu,10 玉素甫,10;
lao'san,61 老三,61;
bing'you,35 病友,35;
dong'dao'zhu,137 东道主,137;
lao'sao,38 牢骚,38;
zhu'guang'qian,7 朱光潜,7;
tuan'budui,5 团部队,5;
gong'kailan,36 公开栏,36;
er'ri,6 二日,6;
wang'xiao'lei,5 王晓磊,5;
zao'ban,7 早班,7;
yong'shun'xian,8 永顺县,8;
min'meng,144 民盟,144;
zao'bao,39 早报,39;
liao'ningdui,32 辽宁队,32;
yongchuang,8 勇闯,8;
mi'tu,15 迷途,15;
jin'zhi'jin'ze,48 尽职尽责,48;
fan'hang,24 返航,24;
zhi'shang'tan'bing,34 纸上谈兵,34;
ping'liang'shi,27 平凉市,27;
ti'anzhe,11 提案者,11;
fang'shaishuang,5 防晒霜,5;
tingzheng,399 听证,399;
nan'chong,53 南充,53;
yan'caoye,9 烟草业,9;
er'qi,225 二期,212;二七,13;
zhu'zi'zhu'ju,10 逐字逐句,10;
ruanming'jun,10 阮明俊,10;
ji'xian'feng,11 急先锋,11;
zidian,5 紫癜,5;
mai'qi,5 买齐,5;
gu'cheng'xian,5 谷城县,5;
jian'shesi,5 建设司,5;
wei'guang,8 微光,8;
jing'ying'guan'lizhe,12 经营管理者,12;
silangtanmu,7 四郎探母,7;
jiao'yuchu,14 教育处,14;
shuang'tun'cun,5 双屯村,5;
qian'nan'zhou,6 黔南州,6;
xin'yong,1721 信用,1721;
liuda'hua,6 柳大华,6;
cai'piao,202 彩票,202;
yi'chun,111 乙醇,73;伊春,9;宜春,29;
ru'yun,14 如云,14;
gang'ao'taiqiao,26 港澳台侨,26;
mai'ru,196 买入,66;迈入,130;
ru'yue,30 如约,30;
xinji,34 心肌,34;
xin'xiu,62 新秀,62;
hao'bu'zai'hu,6 毫不在乎,6;
gong'changhua,29 工厂化,29;
dong'feng,358 东丰,22;东风,336;
jing'ji'quan,115 经济圈,115;
xin'fangban,24 信访办,24;
ji'huashu,63 计划署,63;
xin'xin,2474 信心,2467;欣欣,7;
an'dan,62 暗淡,26;黯淡,36;
tan'tou,18 探头,18;
di'ren'yi'deng,10 低人一等,10;
bian'yang,68 变样,68;
pingshuo,173 平朔,173;
liang'kou'zi,45 两口子,45;
jiwen,13 积温,13;
er'nv,564 儿女,564;
kuleixi,5 库雷希,5;
bu'zhi'suo'cuo,31 不知所措,31;
ci'xu,16 次序,16;
pan'gen'cuo'jie,18 盘根错节,18;
xian'cun,67 现存,67;
sha'ren,78 杀人,78;
mian'hua,425 棉花,425;
gao'mang,16 高莽,16;
ci'xi,45 慈溪,27;慈禧,8;次席,10;
guo'shu'qing,6 郭树清,6;
lian'jie'xian,14 连接线,14;
mai'chu,592 迈出,478;卖出,114;
wuyouping,9 吴幼平,9;
hu'zhao,148 护照,148;
ji'zhu,237 记住,212;脊柱,25;
leng'cang,48 冷藏,48;
men'zhensuo,5 门诊所,5;
ben'chi,94 奔驰,94;
tui'wu'bing,6 退伍兵,6;
hou'zhong,256 厚重,256;
qian'fen'zhi'yi,14 千分之一,14;
ji'zhi,15770 极致,96;机智,35;及至,24;机制,15615;
bang'mang,289 帮忙,289;
li'wan'kuang'lan,23 力挽狂澜,23;
er'mu,11 耳目,11;
an'da'lue'sheng,5 安大略省,5;
ji'zhe,16366 记者,16366;
leiyu,5 雷语,5;
youjian'yu'ci,24 有鉴于此,24;
san'wei'yi'ti,162 三位一体,162;
tong'yue,20 同月,20;
lv'zhenlin,5 吕振霖,5;
da'nian,124 大年,124;
nv'pai,506 女排,506;
tong'hen,44 痛恨,44;
shang'tiao,308 上调,308;
shang'tian,20 上天,20;
kuo'chuo,10 阔绰,10;
ling'chang,15 领唱,15;
quan'tian'hou,147 全天候,147;
xu'lai,6 徐来,6;
xue'tang,198 学堂,149;血糖,49;
xinfu,24 心浮,24;
er'mo,9 耳膜,9;
xiang'tan,46 湘潭,46;
ma'kai,130 马凯,130;
zui'li,84 嘴里,84;
chuan'bei,21 川北,21;
yang'pu'qu,11 杨浦区,11;
ren'mindang,77 人民党,77;
ci'zi,7 次子,7;
jin'zhixing,18 禁止性,18;
chu'bin,5 出殡,5;
laoshan,5 劳山,5;
jiang'zhang,225 奖章,225;
bing'yin,36 病因,36;
shoufen,8 首份,8;
yi'xi'zhi'di,69 一席之地,69;
gu'yuedui,6 鼓乐队,6;
fa'fang,1600 法方,46;发放,1554;
shi'ye'zhe,27 失业者,27;
jiwei,11 机位,11;
ci'yu,90 词语,64;赐予,26;
fang'man,100 放慢,100;
na'tian,325 那天,325;
cuiyin,15 崔寅,15;
mi'ni,29 迷你,29;
niu'ruifei,19 牛瑞飞,19;
ku'long,25 窟窿,25;
fang'mao,27 仿冒,27;
si'da'lin,43 斯大林,43;
yang'shu'guang,19 杨曙光,19;
zhe'jiang'sheng,786 浙江省,786;
miao'xu,19 苗圩,19;
chao'chu,420 超出,420;
qiang'quan,31 强权,31;
fu'lang'suo'wa,6 弗朗索瓦,6;
jian'mei'cao,22 健美操,22;
chun'li'run,20 纯利润,20;
liang'qiang,7 踉跄,7;
youxie,29 友协,29;
an'ju,256 安居,256;
gan'dan'xiang'zhao,44 肝胆相照,44;
xiao'bian,28 小便,23;小辫,5;
chao'che,37 超车,37;
ci'ba,13 糍粑,13;
lao'yi'jie'he,5 劳逸结合,5;
zhang'yong'fu,9 张永福,9;
chou'duan,7 绸缎,7;
zhong'xiao'cheng'shi,208 中小城市,208;
ci'bi,32 刺鼻,32;
xi'yang'xian,6 昔阳县,6;
miao'yu,15 庙宇,15;
chu'che,43 出车,43;
dong'xiang'zu'zi'zhi'xian,9 东乡族自治县,9;
yixin'bayewa,23 伊辛巴耶娃,23;
shangwei,20 上位,20;
dong'guan'shi,157 东莞市,157;
nan'chang'qi'yi,75 南昌起义,75;
guo'shi'fang'wen,173 国事访问,173;
you'xian'gong'si,2867 有限公司,2867;
xiang'tu'qi'xi,6 乡土气息,6;
shangwen,9 商文,9;
an'chu,5 暗处,5;
kai'zao,31 开凿,31;
guan'lian'xing,25 关联性,25;
zhen'han'ren'xin,40 震撼人心,40;
you'hui'ka,5 优惠卡,5;
wang'tie,9 王铁,9;
cunzhu'ren,109 村主任,109;
dian'bao,56 电报,56;
qian'fen'zhi'er,5 千分之二,5;
chu'chu,488 出出,7;处处,451;出处,30;
an'ji,55 安吉,49;氨基,6;
ci'ci,3032 此次,3012;次次,20;
hong'xian,253 红线,253;
jian'zhu'ye,99 建筑业,99;
yuan'nian,28 元年,28;
li'yue're'nei'lu,22 里约热内卢,22;
an'cha,9 安插,9;
pan'jin'wan,10 潘金万,10;
ma'ke'si,488 马克思,488;
an'na'bu'zhu,20 按捺不住,20;
ci'du,8 瓷都,8;
shide,103 师德,103;
rou'shu,10 柔术,10;
bu'zen'me,9 不怎么,9;
fang'men,25 房门,25;
nian'shi'yi'gao,37 年事已高,37;
xiong'maoguan,18 熊猫馆,18;
tian'xueyuan,5 田雪原,5;
jian'zhu'xi,6 建筑系,6;
rou'shi,16 柔石,8;肉食,8;
ci'di,91 次第,23;此地,68;
chan'hui,40 忏悔,40;
sheng'yang,13 生养,13;
gong'wu'bu'ke,11 攻无不克,11;
sun'huai,191 损坏,191;
dao'chang,91 道场,11;到场,80;
duo'xing,27 惰性,27;
yin'hangfa,13 银行法,13;
shice,49 施策,49;
chun'cheng,13 春城,13;
fei'chu,149 废除,149;
yang'mei'tu'qi,25 扬眉吐气,25;
mo'lake,10 莫拉克,10;
jian'zhu'wu,189 建筑物,189;
lv'huaju,6 绿化局,6;
ci'fa,10 此法,10;
tong'yin,6 痛饮,6;
fei'chi,33 飞驰,33;
shibu,13 师部,13;
fei'che,5 飞车,5;
kou'xiang'tang,6 口香糖,6;
qiaolin'sheng,10 乔林生,10;
jin'ning'xian,11 晋宁县,11;
an'he,6 暗河,6;
fu'jia'xing,8 附加刑,8;
da'xiyuan,22 大戏院,22;
ci'er,28 刺耳,28;
wenye,5 文野,5;
ru'zuo,11 入座,11;
yuan'ren,7 猿人,7;
shiju,16 视距,11;诗剧,5;
chan'hou,35 产后,35;
wanbei,28 皖北,28;
xianchu'ji,52 县处级,52;
liuyi'xiong,10 刘易雄,10;
shai'zi,22 筛子,9;色子,13;
tan'tao,773 探讨,773;
shiji,70 史迹,14;师级,22;试剂,34;
ji'sheng'chong,11 寄生虫,11;
tan'tian'shuo'di,8 谈天说地,8;
hang'kong'bing,80 航空兵,80;
li'shu'xian,5 梨树县,5;
tan'tan,99 谈谈,99;
zheng'zheng'ri'shang,37 蒸蒸日上,37;
wu'heng'quan,15 吴恒权,15;
wang'zhizhang,5 王志章,5;
yun'an'xian,15 云安县,15;
dang'yue,73 当月,73;
lan'che,22 缆车,22;
lian'nan'yao'zu'zi'zhi'xian,10 连南瑶族自治县,10;
shuifu,12 税赋,12;
si'chou,56 丝绸,56;
an'te'sheng,12 安特生,12;
zhen'cha'yuan,5 侦察员,5;
duo'zi'duo'cai,56 多姿多彩,56;
chui'lian,195 锤炼,195;
wu'guanchu,13 武官处,13;
an'fang,143 暗访,97;安放,46;
qiu'shou'qi'yi,65 秋收起义,65;
bao'zheng,4531 保证,4509;包拯,10;暴政,12;
mi'yu,7 谜语,7;
pingjinzhan'yi,11 平津战役,11;
bei'ke'le'er,12 贝克勒尔,12;
fa'wei,58 乏味,58;
tiwu,53 体悟,53;
an'na,10 安娜,10;
shi'cheng'xian,9 石城县,9;
shu'ruxing,110 输入性,110;
fa'wen,149 法文,27;发文,60;发问,62;
an'ni,18 安妮,18;
weng'niu'te'qi,10 翁牛特旗,10;
cuo'kai,11 错开,11;
xie'tiaozhe,6 协调者,6;
bing'yuan,65 兵员,44;病源,10;病原,11;
yun'liang,56 运量,56;
deng'gao,28 登高,28;
zun'cong,56 遵从,56;
da'ta'bu,76 大踏步,76;
lv'xing,2696 履行,2500;旅行,196;
liang'hua,636 梁华,14;量化,622;
kuang'rongping,7 况荣平,7;
you'suo'zuo'wei,119 有所作为,119;
ban'hui,20 班会,20;
an'ma,7 鞍马,7;
niu'feicun,10 牛飞村,10;
zhou'kou,23 周口,23;
shui'zi'yuan,1296 水资源,1296;
miao'zu,100 苗族,100;
ma'lin'di,6 马林迪,6;
pu'tao'gan,5 葡萄干,5;
xian'yan'duo'mu,5 鲜艳夺目,5;
zhang'junshan,6 张俊山,6;
cha'gang,11 茶缸,5;查岗,6;
bao'hu'di,12 保护地,12;
liang'hui,609 两会,609;
yan'cheng'shi,14 盐城市,14;
miao'zi,67 苗子,67;
an'mo,117 按摩,117;
guang'kai'yan'lu,21 广开言路,21;
si'guosai,11 四国赛,11;
hou'ci'bo'bi,13 厚此薄彼,13;
tian'jun'rong,21 田俊荣,21;
mi'wu,43 迷雾,43;
chao'cai,19 炒菜,19;
zhuang'jia'di,11 庄稼地,11;
gongfadang,7 巩发党,7;
zhong'yi'yao,324 中医药,324;
xiang'yousheng'yu,25 享有盛誉,25;
wen'wen'er'ya,5 温文尔雅,5;
ben'cao,5 本草,5;
shi'bu'shi,85 时不时,85;
zhe'nan,7 浙南,7;
jiangmanfeng,8 江满凤,8;
ci'ai,15 慈爱,15;
can'zheng,67 参政,67;
long'deng,5 龙灯,5;
an'li,787 安利,9;按理,7;案例,771;
wai'hui,962 外汇,962;
zong'jing'li,1134 总经理,1134;
zu'qiu'chang,53 足球场,53;
tieyi'ju,13 铁一局,13;
ti'xi'bao,14 体细胞,14;
lao'ling'hua,329 老龄化,329;
an'le,26 安乐,26;
ji'you,84 既有,56;集邮,28;
jin'chang'shi,8 金昌市,8;
gai'bao'de,7 盖保德,7;
chu'cao,44 除草,32;锄草,12;
ci'ji,765 次级,52;刺激,713;
zou'si'an,5 走私案,5;
pai'tan,14 排坛,14;
wu'liushi,109 五六十,109;
ci'ju,399 此举,381;词句,18;
kai'zhi,727 开支,727;
mai'di,17 买地,5;麦地,12;
ru'zhu,315 入主,11;入住,304;
lou'wang,6 漏网,6;
chu'cai,44 出彩,44;
zheng'zhengshi'yan,19 铮铮誓言,19;
dani,6 达妮,6;
qiang'kou,14 枪口,14;
yi'lun'fen'fen,22 议论纷纷,22;
pu'taojia,11 葡萄架,11;
bu'ye'cheng,17 不夜城,17;
ding'guo'jiang,8 丁国江,8;
ma'jia,62 马佳,32;马甲,30;
cheng'kou'xian,5 城口县,5;
cun'fang,127 存放,127;
xiang'bu'dao,104 想不到,104;
xiang'shu,8 橡树,8;
ci'ke,136 此刻,136;
jue'da'bu'fen,253 绝大部分,253;
zui'ze,16 罪责,16;
zhu'lan,9 竹篮,9;
zhang'shang'wu,14 张尚武,14;
degute,5 德古特,5;
chu'ci'yi'wai,16 除此以外,16;
qu'diao,87 去掉,56;曲调,31;
nu'tao,7 怒涛,7;
qu'mingxiang,6 瞿明香,6;
wang'tao,64 王涛,59;汪涛,5;
wang'tan,47 网坛,47;
fengjiangquan,6 凤江全,6;
re'dai,173 热带,173;
fu'dong,105 浮动,105;
huang'xinde,13 黄新德,13;
cui'qingxiang,5 崔庆祥,5;
ci'li,20 磁力,8;此理,12;
mai'bu,29 迈步,29;
ma'jiu,9 马厩,9;
gong'chan'guo'ji,116 共产国际,116;
cipuyi,18 磁谱仪,18;
liu'jiang,25 刘江,25;
shaoquanlin,5 邵荃麟,5;
bian'zhe'an,6 编者按,6;
qian'que,225 欠缺,225;
guo'hui,740 国徽,12;国会,728;
fa'guang,56 发光,56;
yang'jiang,51 阳江,19;杨绛,32;
mai'bo,156 脉搏,156;
xi'xing,29 习性,29;
guo'hun,6 国魂,6;
qinglian,31 青联,31;
sai'dao,11 赛道,11;
lu'chao'jun,7 鲁朝军,7;
an'qi,107 按期,107;
guo'huo,39 国货,19;过火,20;
jinchuijiang,6 金锤奖,6;
ma'ming,11 骂名,11;
ti'gong,13717 提供,13717;
shili,33 实利,6;驶离,27;
wu'lu'que'le,6 乌鲁却勒,6;
tongbaoqi,5 佟宝祺,5;
guoyou'ming,7 郭有明,7;
guo'hua,49 国画,49;
huan'zhai,62 还债,62;
shuang'ya'shan,5 双鸭山,5;
bie'kai'sheng'mian,43 别开生面,43;
e'mao'da'xue,6 鹅毛大雪,6;
zhang'liang,104 张亮,28;张靓,6;丈量,70;
ta'fang,53 塌方,53;
dake,8 达克,8;
lou'dou,15 漏斗,15;
bai'ge'zheng'liu,23 百舸争流,23;
shi'fansheng,295 师范生,295;
jie'rang,59 接壤,59;
hafangyuan,7 哈方愿,7;
ci'mu,19 慈母,19;
guang'guai'lu'li,13 光怪陆离,13;
kai'zha,20 开闸,20;
zhang'rui,28 张睿,12;张锐,16;
xielvzhi,6 谢旅志,6;
shang'ting,9 商亭,9;
ru'zhi,18 乳汁,18;
qiu'hao'wu'fan,6 秋毫无犯,6;
tong'yao,17 童谣,17;
zheng'tie'zhu,14 郑铁柱,14;
xuan'shou,1084 选手,1084;
bu'xie'nu'li,334 不懈努力,334;
an'wo,10 安卧,10;
wen'xue'xi,9 文学系,9;
tong'hua,206 通话,55;通化,32;同化,20;童话,99;
wu'sha,18 乌纱,9;误杀,9;
tong'huo,38 通货,25;同伙,13;
tong'hun,12 通婚,12;
yuan'shaohong,10 袁绍宏,10;
li'qing'song,7 李青松,7;
wu'shi,2022 舞狮,39;务实,1715;五十,66;误事,18;吴氏,19;无视,159;巫师,6;
pi'dou,11 批斗,11;
wu'shu,1233 伍数,7;武术,390;无数,836;
tan'luzhe,13 探路者,13;
xinxi,6 欣悉,6;
wei'xian'qu,15 危险区,15;
gong'wu'yuanju,29 公务员局,29;
gan'ying,50 感应,50;
duan'qun,6 短裙,6;
long'zhou'xian,11 龙州县,11;
ci'fu,14 慈父,9;辞赋,5;
chun'han,29 春旱,18;春寒,11;
wen'chong,25 蚊虫,25;
ci'gu,48 刺骨,48;
shuimu,84 税目,84;
fa'zhanju,6 发展局,6;
jiu'jin'shan,108 旧金山,108;
cui'xuyan,9 崔旭艳,9;
han'xiao,18 含笑,18;
han'xian,8 汗腺,8;
xiu'hua'zhen,8 绣花针,8;
wei'tiao,79 微调,79;
shu'bianren,5 戍边人,5;
piao'tai'huan,6 朴泰桓,6;
zhuan'kuai,17 砖块,17;
shiqu,87 驶去,17;逝去,70;
xinyi,16 新衣,16;
yong'xin'xian,18 永新县,18;
ban'zheng,73 办证,73;
mai'fu,16 埋伏,16;
ju'chang,375 剧场,375;
ji'yue,327 集约,273;激越,54;
bei'tao,11 被套,11;
zhuan'kuan,84 专款,84;
she'sheng'wang'si,41 舍生忘死,41;
ang'shou'kuo'bu,14 昂首阔步,14;
yan'chang'zhe,7 演唱者,7;
pao'zhuan'yin'yu,6 抛砖引玉,6;
chu'liang,318 储量,318;
shang'gan'ling,17 上甘岭,17;
tong'xingzhe,5 同行者,5;
sanzhi,7 三制,7;
hun'tong,10 混同,10;
dian'zi'hua,41 电子化,41;
le'you'you,6 乐悠悠,6;
leng'chang,5 冷场,5;
jun'deng,608 均等,608;
mao'fan,9 冒犯,9;
lu'jun,202 陆军,181;陆俊,15;鲁军,6;
bu'da'pei'si,18 布达佩斯,18;
liang'san'wan,32 两三万,32;
wan'fu'xiang,36 万阜乡,36;
chuanwu,5 船务,5;
fang'hua'lian,6 防滑链,6;
bao'xiangang,13 保险杠,13;
wang'peng,25 王鹏,25;
zeng'zhi,511 曾志,36;增值,461;增殖,14;
ba'zhan,10 霸占,10;
chen'mu'hua,44 陈慕华,44;
panxi,5 攀西,5;
wei'xian'qi,11 危险期,11;
zhong'zhou,9 中州,9;
she'hui'xing,69 社会性,69;
duan'que,723 短缺,723;
reng'xia,26 扔下,26;
kaibu'er,8 凯布尔,8;
an'tu,7 安图,7;
huang'you'yi,5 黄友义,5;
jun'yue'dui,8 军乐队,8;
ting'dian,154 停电,154;
zhong'kou'nan'tiao,8 众口难调,8;
xiangshan'zhi,6 向善之,6;
shang'haizhan,12 上海站,12;
dui'ying,236 对应,236;
yan'jiao'mo,24 眼角膜,24;
lian'mengdang,6 联盟党,6;
liutianjun,14 刘天军,14;
guo'lai,874 过来,874;
xi'ji'xian,25 西吉县,25;
san'tian'liang'tou,22 三天两头,22;
ling'di,18 领地,18;
he'dong'sheng,9 何冬生,9;
jing'hou,14 静候,14;
tong'sheng,20 同声,10;童声,10;
wang'xiao'jun,5 王晓军,5;
liu'qingshan,21 刘青山,21;
niang'jia'ren,8 娘家人,8;
han'leng,172 寒冷,172;
dai'an'na,11 戴安娜,11;
qian'pian'yi'lv,31 千篇一律,31;
pei'shen'tuan,6 陪审团,6;
bao'miao,75 保苗,75;
zuo'dao,3587 做到,3587;
le'suo,11 勒索,11;
fu'haifeng,5 付海峰,5;
zhou'peng,6 周鹏,6;
chuan'xin'lian,7 穿心莲,7;
wu'xiang,9 武乡,9;
tang'er'huang'zhi,34 堂而皇之,34;
wangge,7 王哥,7;
zu'ji,391 祖籍,39;足迹,315;阻击,37;
guo'shui'ju,44 国税局,44;
zui'gao'fa'yuan,57 最高法院,57;
ying'tou,9 迎头,9;
fu'pinbangkun,39 扶贫帮困,39;
qing'miao'dan'xie,25 轻描淡写,25;
wan'an,11 万安,11;
tian'xiang,16 甜香,5;天象,5;天祥,6;
lintai,7 林泰,7;
yue'qusheng,15 乐曲声,15;
ba'lei'wuju,62 芭蕾舞剧,62;
neijing,5 内径,5;
liu'xiaorong,6 刘小蓉,6;
liyilian'chi,5 礼义廉耻,5;
zu'ma,84 祖马,84;
wan'bi,249 完毕,249;
xiang'zhen'zhang,13 乡镇长,13;
liu'ming'jun,18 刘明君,18;
jian'ba'nu'zhang,12 剑拔弩张,12;
mu'zhi'ming,6 墓志铭,6;
ai'sen'shi,6 埃森市,6;
zu'mu,37 祖母,37;
xin'hua'qu,15 新华区,15;
xiao'mei,20 小妹,20;
tie'pi,37 铁皮,37;
xiao'men,92 校门,92;
xing'cheng,12362 行程,278;兴城,30;形成,12054;
tie'qi,28 铁器,22;铁骑,6;
liu'laozhuang,5 刘老庄,5;
wen'shan'zhou,6 文山州,6;
ju'qi'bu'ding,7 举棋不定,7;
zu'li,184 阻力,184;
yuan'man,587 圆满,587;
yuan'mao,51 原貌,51;
guan'jun'sai,15 冠军赛,15;
su'shan,16 苏珊,16;
zhuang'pei,106 装配,106;
tu'nian,111 兔年,111;
yuanchu,9 原初,9;
cuoci,7 措词,7;
cheng'xu'xing,27 程序性,27;
tong'zhi,8140 统治,428;同志,6047;同治,18;通知,1647;
lu'gou'qiao,26 卢沟桥,26;
qiushou,13 球手,13;
jun'ying,245 军营,245;
yu'mifen,14 玉米粉,14;
a'lan,6 阿兰,6;
cai'chanxian,11 财产险,11;
lv'jian'bu'xian,83 屡见不鲜,83;
ling'du,10 零度,10;
mian'mao'yi'xin,19 面貌一新,19;
cao'lian,7 操练,7;
qu'xiaohua,10 瞿晓铧,10;
ye'man,97 野蛮,97;
wan'da,39 万达,39;
cao'liao,13 草料,13;
zu'ge,131 组阁,49;组歌,20;阻隔,62;
tuo'zhan,2256 拓展,2256;
ken'qing,15 恳请,15;
wan'di,9 万引娣,9;
shui'ling,10 水灵,10;
fa'gao,99 发稿,99;
zheng'junjian,5 郑军健,5;
ding'li'mo'bai,13 顶礼膜拜,13;
ling'he,6 凌河,6;
san'gongkai,17 三公开,17;
guang'mang,220 光芒,220;
chen'bo'da,6 陈伯达,6;
bo'yi'bo,5 薄一波,5;
mi'lan,65 糜烂,6;米兰,59;
ka'li'pu'suo,9 卡利普索,9;
huo'dao'lao,18 活到老,18;
niu'rou,85 牛肉,85;
zizhubijiao,11 锱铢必较,11;
fandu,14 反毒,14;
wan'er,13 玩儿,13;
sun'jian,12 孙健,12;
tian'wen'xue,32 天文学,32;
da'zi'bao,8 大字报,8;
zi'zun,113 自尊,113;
zu'fu,85 祖父,85;
pan'huan,15 盘桓,15;
jue'xin,1180 决心,1180;
ren'cai,11270 人才,11270;
xin'hua'lu,6 新华路,6;
hu'die,81 蝴蝶,81;
qiuyanqing,8 邱衍庆,8;
re'shen,35 热身,35;
zong'de'lai'kan,40 总的来看,40;
da'fa'guan,18 大法官,18;
zui'gaofen,23 最高分,23;
xiao'mao,5 小毛,5;
ju'qing,95 剧情,95;
xiao'man,8 小满,8;
wanglu,6 网路,6;
gong'guanzu,6 攻关组,6;
xian'ling,38 县令,6;先令,32;
chen'nian,22 陈年,22;
wan'fu,27 万福,12;万阜,15;
xiao'mai,576 小麦,576;
xu'jian'yi,14 徐建一,14;
wu'pin,482 物品,482;
daizong'tong,7 代总统,7;
tie'lu,2859 铁路,2859;
zu'he,616 组合,616;
zong'shou'ru,363 总收入,363;
gong'kai'hua,59 公开化,59;
wan'ge,5 挽歌,5;
da'huo'ji,30 打火机,30;
xiu'xi'shi,21 休息室,21;
meng'sheng,72 萌生,72;
kai'piao,17 开票,17;
wangmu,5 旺姆,5;
kai'pian,65 开篇,65;
zhi'de'yi'ti'de'shi,124 值得一提的是,124;
lou'ding,42 楼顶,42;
chun'feng'de'yi,13 春风得意,13;
mao'tan,19 毛毯,19;
qiu'jia'ping,13 邱家坪,13;
mao'tai,76 茅台,76;
wan'gu,61 顽固,46;万古,15;
fa'gei,303 发给,303;
tu'chuzhe,6 突出者,6;
kuan'zhai,12 宽窄,12;
luo'ji'xing,5 逻辑性,5;
cunwu,185 村务,185;
tiao'tiao,50 迢迢,5;条条,45;
yiyi,35 疑义,12;熠熠,23;
fen'xiang,839 焚香,5;分享,834;
chen'zhou,60 陈洲,5;郴州,55;
ke'zhuo,33 课桌,33;
xiangshi,33 详实,33;
luxue'sheng,6 卢学生,6;
cheng'jiexing,5 惩戒性,5;
youfudui'xiang,53 优抚对象,53;
ye'mei,11 叶梅,11;
luo'ping,9 罗平,9;
tai'bai'shan,6 太白山,6;
jiang'hai,33 江海,33;
xi'erfuman,5 西尔弗曼,5;
wu'ming,69 无名,60;吴明,9;
jiang'hao,86 降耗,86;
ye'men,434 爷们,15;也门,419;
jiang'han,67 江汉,67;
bu'kan'yi'ji,13 不堪一击,13;
yixi,98 乙烯,98;
shang'nian,902 上年,902;
guan'li'ceng,95 管理层,95;
deng'zhong'xia,29 邓中夏,29;
zu'se,23 阻塞,23;
chu'kou'liang,73 出口量,73;
yi'hui'zhi,9 议会制,9;
she'chi'pin,274 奢侈品,274;
hu'shui'xi,5 湖水系,5;
bao'chun'hua,7 报春花,7;
re'shui,84 热水,84;
shi'guan,567 石棺,5;试管,18;使馆,544;
liu'cheng,791 流程,775;留成,16;
lu'zhandui,30 陆战队,30;
jiu'wu,57 九五,51;旧物,6;
jiu'wo,9 酒窝,9;
wujia,18 五加,18;
xian'tou,11 先头,11;
que'chao,38 雀巢,38;
xun'chang,177 寻常,177;
liao'chang'yong,6 廖昌永,6;
yiye,46 一业,36;胰液,10;
chou'jin,22 酬金,7;抽筋,15;
lao'dun,11 劳顿,11;
sui'zhi,354 随之,354;
fen'hong'se,10 粉红色,10;
zou'jin,209 走近,209;
chan'che,11 铲车,11;
tie'kuang'shi,142 铁矿石,142;
da'huo'er,74 大伙儿,74;
sui'zhe,5205 随着,5205;
tui'chao,11 退潮,11;
faner,15 范儿,15;
he'xiang'ning,16 何香凝,16;
bao'gao'hui,332 报告会,332;
she'hui'zhu'yi,15398 社会主义,15398;
lan'kao'xian,52 兰考县,52;
chan'chu,432 产出,341;铲除,91;
zhang'zhe,67 张者,6;长者,61;
chu'ban,4400 出版,4386;初版,14;
lou'dian,13 漏电,13;
cunzu,109 村组,109;
lou'diao,10 漏掉,10;
ni'gu'la,6 尼古拉,6;
zhu'xi'tai,82 主席台,82;
mi'mi'hu'hu,6 迷迷糊糊,6;
liu'xinyan,19 刘鑫焱,19;
zhaoqitao,5 赵启涛,5;
yabuli,61 亚布力,61;
zhang'gailun,11 张盖伦,11;
gu'qin,59 古琴,59;
duan'dai,15 断代,15;
yang'chun'guang,5 杨春光,5;
fu'lan'ke'lin,8 富兰克林,8;
yu'hongchen,9 于洪臣,9;
gu'qie,13 姑且,13;
